"month","country","NI_diff","F_I_BWP","F_I","GR_NCM_log_diff","code","sub_lineage","sub_redefine","sub_richness","sub_evenness","sub_richness_redefine","sub_evenness_redefine"
"2020-12","South Africa",19955,0,0,1.42036540002225,"ZAF",0.377940549569689,0.377940549569689,18,0.130758456429419,18,0.130758456429419
"2021-01","South Africa",19955,0,0,0.395091715517241,"ZAF",0.359932319773564,0.359932319773564,14,0.136386699801644,14,0.136386699801644
"2021-02","South Africa",19955,0.0512395949370612,0.0512395949370612,-1.89473587334879,"ZAF",0.191490883202085,0.191490883202085,4,0.138131473785548,4,0.138131473785548
"2021-03","South Africa",19955,0.226121242035859,0.226121242035859,-0.539609974161689,"ZAF",0.515273805863151,0.515273805863151,6.54,0.275210556615271,6.54,0.275210556615271
"2021-04","South Africa",19955,0.417799774102191,0.417799774102191,-0.0504700348387619,"ZAF",0.502858253192964,0.502858253192964,8.16,0.24108677447799,8.16,0.24108677447799
"2021-05","South Africa",19955,0.599476984048263,0.599476984048263,0.937538002814886,"ZAF",1.24364000843528,1.23718061967493,20.26,0.413643628424504,19.4,0.417534292996388
"2021-06","South Africa",138247,1.63979033641953,1.63979033641953,1.29560138009441,"ZAF",2.31028097596574,2.31028097596574,38,0.635113747007305,38,0.635113747007305
"2021-07","South Africa",138247,2.6801036887908,2.6801036887908,0.42886218047428,"ZAF",1.84061174448374,1.83840968964906,47,0.478062644576593,46,0.480172860099905
"2021-08","South Africa",138247,6.34666142972461,6.39790102466167,-0.360400223410664,"ZAF",1.71453237202054,1.70244895462986,35,0.482240372072682,33,0.486899834964415
"2021-09","South Africa",138247,10.672422355858,10.8985435978938,-0.971295941814684,"ZAF",1.82312888045287,1.80434308416589,28.46,0.544778374421825,25.78,0.555572409355048
"2021-10","South Africa",138247,14.9104189338154,15.3282187079176,-1.86087919271147,"ZAF",1.99042174805672,1.97364647204308,15.27,0.731968611647119,14.46,0.740487415195331
"2021-11","South Africa",138247,18.9250750536712,19.5245520377194,0.34117798968478,"ZAF",2.42361982793389,2.35842567238844,21,0.796059111900052,20,0.787261830173667
"2021-12","South Africa",546483,20.563548017073,22.2033383534925,2.88616629926589,"ZAF",1.17488459349148,1.09080620618664,9,0.534713021877735,8,0.524566901412121
"2022-01","South Africa",546483,21.525152500535,23.4804786881199,-1.20488571030765,"ZAF",0.64157580755232,0.64157580755232,4,0.462799117955032,4,0.462799117955032
"2022-02","South Africa",546483,19.3082154538013,24.5159783483672,-0.758502717456901,"ZAF",NA,NA,NA,NA,NA,NA
"2019-12","South Korea",-113087,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01","South Korea",-113087,0,0,NA,"KOR",NA,NA,NA,NA,NA,NA
"2020-02","South Korea",-113087,0,0,5.74907446384791,"KOR",0.831570601618775,0.831570601618775,2.93,0.775687682370316,2.93,0.775687682370316
"2020-03","South Korea",-113087,0,0,0.748605094468383,"KOR",1.71523564731492,1.71523564731492,6.96,0.890091210681797,6.96,0.890091210681797
"2020-04","South Korea",-113087,0,0,-1.90458195356247,"KOR",1.12543146593596,1.12543146593596,3.41,0.926030002335304,3.41,0.926030002335304
"2020-05","South Korea",-113087,0,0,-0.30400896573921,"KOR",0.286926434089376,0.286926434089376,1.53,0.83890935205146,1.53,0.83890935205146
