"month","country","date","new_cases_month","index","NI_diff","mean_half_year","total_sum","F_Vero","B_Vero","infection","F_Vero_per_month","F_W_V","F_WC_V","F_B_V","F_BC_V","F_I_BWP","F_I_WP","F_I_BCWP","cut_off","NPI","T_Vero","P_Vero","travel","travel_route","GR_NCM_log_diff","F_I","total_case","sub_lineage","sub_gisaid","sub_richness","sub_evenness","month1","year","travel2"
"2021-12","Czechia",2021-12-01,325687,5,-48472,1770257,4111356,61.0132258064516,16.5293548387097,91.7518106312141,2.8578924731183,39.0558924731183,47.1617849462365,55.585247311828,52.3094516129032,51.0004708524405,35.8344885022661,47.9948689860975,TRUE,36.7983870967742,136.924516129032,63.1203225806452,29655,4446,-0.172849587263114,55.9807394019305,2479039,2.19320742221039,0.0796216193903285,24.14,0.689762646762836,12,2021,8.39976009452414
"2022-01","Czechia",2022-01-01,537725,5,-48472,1770257,4111356,62.7745161290323,29.8983870967742,91.9168715259444,1.7612903225807,23.9293548387097,39.0558924731183,53.8277419354839,55.585247311828,49.4767764001556,21.9951143440842,51.0922203589914,TRUE,42.5603225806452,153.08935483871,64.2145161290323,28569,4680,0.501410479608211,57.7003713413559,3016764,2.13161282896932,0.156054215898009,13.87,0.814131278944231,1,2022,8.45105338891169
"2022-02","Czechia",2022-02-01,560874,5,-48472,1770257,4111356,63.6260714285714,36.6,91.987222912775,0.8515552995391,13.5157488479262,23.9293548387097,50.1157488479262,53.8277419354839,46.1000856071483,12.4327620210727,49.5146449631068,TRUE,41.67,161.096428571429,64.6889285714286,35782,5113,0.042149004303603,58.5278561556414,3577638,0.338187725454143,0.302766168739767,1.64646464646465,0.814700835062871,2,2022,8.53954159508
"2019-12","Denmark",2019-12-01,NA,1,-122350,11669,3301535,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,0,0,NA,221,NA,0,NA,NA,NA,NA,NA,12,2019,5.39816270151775
"2020-01","Denmark",2020-01-01,NA,1,-122350,11669,3301535,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,0,0,NA,712,NA,0,NA,NA,NA,NA,NA,1,2020,6.56807791141198
"2020-02","Denmark",2020-02-01,3,1,-122350,11669,3301535,0,0,0,0,0,0,0,0,0,0,0,FALSE,1.19035714285714,0,0,NA,593,NA,0,3,NA,NA,NA,NA,2,2020,6.38519439899773
"2020-03","Denmark",2020-03-01,2857,1,-122350,11669,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,52.6274193548387,0,0,5040,2520,6.85891511356266,0,2860,1.13979462348757,0.620053911977093,3.71,0.903272604177318,3,2020,7.83201418050547
"2020-04","Denmark",2020-04-01,6298,1,-122350,11669,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,70.2466666666667,0,0,5440,2762,0.790459999430197,0,9158,0.705084461971043,0.300943550803637,2.31958762886598,0.981050744736236,4,2020,7.92371033396924
"2020-05","Denmark",2020-05-01,2511,1,-122350,11669,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,66.1009677419355,0,0,7886,3675,-0.919551042503384,0,11669,0.513255880550391,0.325368237433519,1.88095238095238,0.983492268145077,5,2020,8.20930841164694
"2020-06","Denmark",2020-06-01,1099,2,-110681,68812,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,58.0586666666667,0,0,13098,4630,-0.826280404753964,0,12768,0.412788627506868,0.311933166204979,1.68831168831169,0.968152953726266,6,2020,8.44031214708028
"2020-07","Denmark",2020-07-01,1021,2,-110681,68812,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,57.41,0,0,27459,7273,-0.0736181362389559,0,13789,0.474304704115034,0.30286683202233,1.82716049382716,0.990774349846251,7,2020,8.89192414015454
"2020-08","Denmark",2020-08-01,3196,2,-110681,68812,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,51.1087096774194,0,0,26146,5787,1.1411174887215,0,16985,1.88578743055728,0.978089918188646,7.59,0.950811959080206,8,2020,8.66336930157384
"2020-09","Denmark",2020-09-01,11013,2,-110681,68812,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,49.85,0,0,19858,5457,1.23717636527878,0,27998,2.08062583115861,1.21637362316216,9.39,0.941246312180003,9,2020,8.60465446718623
"2020-10","Denmark",2020-10-01,18353,2,-110681,68812,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,43.2516129032258,0,0,17377,5732,0.510716655693528,0,46351,2.36755381213797,1.29104512484433,12.35,0.950878136747237,10,2020,8.65381978894806
"2020-11","Denmark",2020-11-01,34130,2,-110681,68812,3301535,0,0,0,0,0,0,0,0,0,0,0,TRUE,46.2643333333333,0,0,8861,3961,0.620383714042282,0,80481,2.79494488498118,1.28923709147825,22.33,0.902137220091032,11,2020,8.28425179762192
"2020-12","Denmark",2020-12-01,82998,3,-53538,202747,3301535,0,0,93.39,0,0,0,0,0,0,0,0,TRUE,50.1777419354839,0.09375,0.09375,7539,3487,0.888639748202117,0,163479,2.74216202615091,1.19743890472696,26.07,0.842489049965051,12,2020,8.15679704667565
"2021-01","Denmark",2021-01-01,34993,3,-53538,202747,3301535,0.222903225806452,0,93.3887057496288,0.222903225806452,0.222903225806452,0,0.222903225806452,0,0.208166437654818,0.208166437654818,0,TRUE,68.1293548387097,2.4141935483871,2.19064516129032,6476,2747,-0.863668469633986,0.208166437654818,198472,2.77302393174131,1.27848219222319,25.56,0.857152849442087,1,2021,7.91826468609527
"2021-02","Denmark",2021-02-01,12723,3,-53538,202747,3301535,2.41857142857143,0,91.8441714505539,2.19566820276498,2.41857142857143,0.222903225806452,2.41857142857143,0.222903225806452,2.22131688951125,2.22131688951125,0.204723620878493,TRUE,66.4025,6.70464285714286,4.28607142857143,6741,2993,-1.01173666232618,2.22131688951125,211195,1.60224860988977,1.16227904655522,13.83,0.611015343405047,2,2021,8.0040315078527
"2021-03","Denmark",2021-03-01,21409,3,-53538,202747,3301535,4.3658064516129,0,90.1755935470646,1.94723502304147,4.3658064516129,2.41857142857143,4.3658064516129,2.41857142857143,3.93689188085797,3.93689188085797,2.18096114107401,TRUE,63.1390322580645,14.2167741935484,9.85032258064516,7581,3319,0.520400015204022,3.93689188085797,232604,0.382459339931079,0.490678932876461,6.09,0.212944676503223,3,2021,8.10741881171997
"2021-04","Denmark",2021-04-01,19951,3,-53538,202747,3301535,8.039,0,91.5318281259387,3.6731935483871,8.039,4.3658064516129,8.039,4.3658064516129,7.35824366304421,7.35824366304421,3.99610245760146,TRUE,63.8866666666667,25.1183333333333,17.0783333333333,9173,3920,-0.0705321269716599,7.35824366304421,252555,0.208739328549204,0.546732134639363,3.72,0.16113578326137,4,2021,8.27384693278451
"2021-05","Denmark",2021-05-01,30673,3,-53538,202747,3301535,16.8061290322581,0,92.3730370745895,8.7671290322581,16.8061290322581,8.039,16.8061290322581,8.039,15.5243318017711,15.5243318017711,7.42586845042625,TRUE,58.3954838709677,45.6532258064516,28.8464516129032,11602,4898,0.430103521404458,15.5243318017711,283228,0.11508188742,0.492912157772895,3.15,0.104028515766536,5,2021,8.49658223751211
"2021-06","Denmark",2021-06-01,12450,4,80397,206174,3301535,26.4586666666667,0,92.5909153128841,9.6525376344086,26.4586666666667,16.8061290322581,26.4586666666667,16.8061290322581,24.4983216462517,24.4983216462517,15.5609486996321,TRUE,53.1506666666667,73.965,48.0036666666667,15564,5024,-0.901662165886666,24.4983216462517,295678,0.758619732176799,1.0010931598054,4.84,0.483833960554469,6,2021,8.52198170814803
"2021-07","Denmark",2021-07-01,23130,4,80397,206174,3301535,43.9941935483871,0.00806451612903226,92.7957644352534,17.5355268817204,43.7712903225806,26.4586666666667,43.7793548387097,26.4586666666667,40.6253869874027,40.6179034580128,24.5525219927089,TRUE,47.0409677419355,108.649032258065,65.4435483870968,35248,4653,0.61940985333263,40.8247482103507,318808,2.35623053532946,0.306031262868063,20.37,0.784018480340029,7,2021,8.44526745184465
"2021-08","Denmark",2021-08-01,28886,4,80397,206174,3301535,64.64,0.01,92.9057414690915,20.6458064516129,62.2214285714286,43.7712903225806,62.2314285714286,43.7793548387097,57.8165701410938,57.8072795669469,40.6735342232878,TRUE,38.89,137.968709677419,74.1187096774194,36204,4541,0.222226572435627,60.0542712856207,347694,2.89517709120155,0.0200217303811836,30.95,0.8447677276731,8,2021,8.42090253109795
"2021-09","Denmark",2021-09-01,13103,4,80397,206174,3301535,73.5643333333333,0.471,92.929629497152,8.92433333333329,69.1985268817204,62.2214285714286,69.6695268817204,62.2314285714286,64.7436332036015,64.3059346486699,57.8314360022134,TRUE,25.738,149.219333333333,75.9813333333333,30651,4085,-0.790515837056526,68.3630624087165,360797,2.76804127308095,0.010450971062078,22.9,0.886135087720758,9,2021,8.3150770072941
"2021-10","Denmark",2021-10-01,28987,4,80397,206174,3301535,75.0883870967742,2.81903225806452,92.9418216789381,1.5240537634409,67.0493870967742,69.1985268817204,69.8684193548387,69.6695268817204,64.9369817266669,62.3169217923048,64.7521274389684,TRUE,24.07,153.690322580645,76.5809677419355,35705,4352,0.794006241996296,69.7885148370746,389784,2.63558277270108,0.010961027732007,26.65,0.804120826102057,10,2021,8.37839078853578
