"month","country","date","F_Vero","B_Vero","VE","FW_BW_P","travel_route","GR_NCM_log_diff","new_cases_month","total_case","NPI_NV","shannon_strategy1","richness_strategy1","evenness_strategy1","redefine_shannon_strategy1","richness_redefine_strategy1","evenness_redefine_strategy1","simpson_strategy1","shannon_strategy2","richness_strategy2","evenness_strategy2","shannon_strategy3","richness_strategy3","evenness_strategy3","month1","year"
"2021-06","South Korea","2021-06-01",6.944,0,NA,5.65563024927648,NA,-0.0707639328153444,16924,157722,50,1.31460357362535,9.96,0.576951575806886,1.31460357362535,9.96,0.576951575806886,0.574809688581315,1.37278824082274,14.38,0.516627839891576,1.32938099447612,10.4,0.571809416928982,6,2021
"2021-07","South Korea","2021-07-01",12.4354838709677,0,NA,10.2740730249219,NA,0.910459535129705,42064,199786,44.2764516129032,1.56078005856424,17.09,0.551554299206108,1.56058201651265,17.06,0.551861257739933,0.665726530612245,1.53847984279293,16.57,0.550591035371897,1.54745602725252,16.27,0.557312268411404,7,2021
"2021-08","South Korea","2021-08-01",20.6712903225806,0,NA,17.5594242964585,NA,0.243438304604572,53658,253444,50.63,0.938947270994157,18.82,0.320489529389059,0.896790711328881,17.51,0.313869129801873,0.332693250167075,0.929693831236481,16.14,0.335103397721671,0.930931081610718,15.48,0.340798460238089,8,2021
"2021-09","South Korea","2021-09-01",40.928,0.00133333333333333,NA,35.2328794780449,NA,0.117165768308247,60328,313772,47.8383333333333,0.727937194261111,13.19,0.283625805936234,0.683895657565337,12.17,0.275392058541287,0.299423051620543,0.72098957626744,10.62,0.307440345422622,0.714753049734007,11.41,0.295360544915644,9,2021
"2021-10","South Korea","2021-10-01",63.7477419354839,0.0493548387096774,NA,55.7952952426627,NA,-0.136833103403815,52613,366385,47.22,0.763229904032063,9.49,0.344088534952324,0.714708118945274,8.51,0.340477424796153,0.393009006925068,0.772768789244165,8.45,0.3670573195353,0.773977303985219,9.6,0.345343413572678,10,2021
"2021-11","South Korea","2021-11-01",77.674,2.763,NA,68.6901207049844,NA,0.490965366466428,85964,452349,46.483,0.95190403587488,14.03,0.362849023665153,0.881688338907092,12.54,0.351554760678469,0.518466846944294,0.918225923393618,8.76,0.43079860309977,0.942009167489205,11.47,0.390888940208165,11,2021
"2021-12","South Korea","2021-12-01",81.0661290322581,19.3354838709677,NA,72.1833972351272,NA,0.75502735370503,182903,635252,49.5674193548387,0.868923254867901,11.87,0.353780750656355,0.78747473613178,9.47,0.354586548538831,0.531874872346144,0.839761227003692,5.53,0.508988783185004,0.854315573643715,7.03,0.450314136241083,12,2021
"2022-01","South Korea","2022-01-01",83.9712903225806,44.8761290322581,NA,75.296611233793,NA,0.223844223758844,228789,864041,50.93,1.0171175909558,11,0.424170981315968,0.898275034634381,6,0.501336842395138,0.563008834483916,0.993667247487833,7.51,0.496794934420208,0.970056736070768,6.1,0.545289985347613,1,2022
"2022-02","South Korea","2022-02-01",85.4439285714286,57.1703571428571,NA,76.8166924395005,NA,2.35433575668932,2409407,3273448,46.9942857142857,1.54546636983201,14,0.585613034051564,0.106037233472872,4,0.076489695440449,0.680806447191689,1.52306197304578,11.5,0.62541871633148,1.40864068786149,6.95,0.735135100503264,2,2022
"2022-03","South Korea","2022-03-01",85.8051612903226,62.4996774193548,NA,77.2153362608399,NA,1.43338929166505,10102369,13375817,40.74,1.57236850173805,14,0.595806875467645,0.0642001978158928,3,0.0584375384092282,0.698011715878802,1.54530939294686,10.9,0.648800962330375,1.49259827795034,8.45,0.703480802014761,3,2022
"2022-04","South Korea","2022-04-01",85.947,64.949,NA,77.3740733832171,NA,-0.951836731935714,3899831,17275648,30.3096666666667,1.52212185840652,16,0.548989414187946,0.0151885260526619,2,0.0219124112145881,0.683462479884241,1.4833179124505,10.13,0.643658237989059,1.44705384464704,8.36,0.685458542350438,4,2022
"2022-05","South Korea","2022-05-01",86.0164516129032,70.701935483871,NA,68.7313076379122,NA,-1.53081329287558,843766,18119414,16.67,1.76977208688874,18,0.612299121057326,0.120806458902592,2,0.174286879166126,0.729142175476559,1.734675213495,13.46,0.66942095730394,1.64451444504911,9.11,0.748845718794228,5,2022
"2022-06","South Korea","2022-06-01",86.1013333333333,72.629,NA,52.5704092583477,NA,-1.21864878173236,249442,18368856,14.5386666666667,2.08076811557169,33,0.595098989203671,0.0290574697142018,3,0.0264492487603878,0.806673429448293,2.03140348233924,18.84,0.694105924796433,1.93082785422238,11.73,0.789107202821484,6,2022
"2022-07","South Korea","2022-07-01",86.1467741935484,73.8474193548387,NA,28.0767999871331,NA,1.7613895016272,1451882,19820738,13.89,2.40852450816883,29,0.7152696495272,0.132089507208176,2,0.190564877002703,0.852621319380322,2.3654000421898,24.75,0.737713682783782,2.03851971114427,11.32,0.844908248243426,7,2022
"2022-08","South Korea","2022-08-01",86.1735483870968,77.4461290322581,NA,18.9444171185922,NA,0.881945377012222,3507158,23327896,13.89,2.33003581883409,27,0.706963333916123,0.718849507352593,3,0.654325019633707,0.842906574394464,2.33003581883409,27,0.706963333916123,1.81266549869365,7.76,0.893820227627847,8,2022
"2022-09","South Korea","2022-09-01",86.1943333333333,78.9556666666667,NA,15.1954771866348,NA,-0.87082539560593,1468117,24796013,13.89,1.2058517660123,16,0.434919090718285,0.105015755196593,3,0.0955894597937798,0.579476543209877,1.17532879769005,12.17,0.471762735766479,1.09338919280874,6.06,0.62339338335986,9,2022
"2020-01","Spain","2020-01-01",0,0,NA,0,NA,NA,NA,NA,0.358387096774194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2020
"2020-02","Spain","2020-02-01",0,0,NA,0,NA,NA,45,45,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2020
"2020-03","Spain","2020-03-01",0,0,NA,0,NA,7.66416933915285,95878,95923,51.7322580645161,1.6231146040591,15.41,0.595775829155046,1.6231146040591,15.41,0.595775829155046,0.707680754529487,1.61819260030143,11.66,0.662968003668899,1.55671733173802,8.65,0.727084987082612,3,2020
"2020-04","Spain","2020-04-01",0,0,NA,0,NA,0.285400533904166,127546,223469,85.19,1.41203869798852,15.36,0.517712241264399,1.41203869798852,15.36,0.517712241264399,0.632285797112843,1.39250126524022,10.72,0.589598757096194,1.25596015844781,5.86,0.720079520274438,4,2020
